Drift,Temp
-0.008843, 10.392081
-0.008626, 10.188016
-0.008518, 10.107703
-0.008812, 10.293621
-0.008626, 10.196669
-0.008753, 10.392491
-0.008825, 10.196166
-0.008525, 10.129223
-0.008689, 10.068399
-0.008754, 10.098258
-0.008987, 10.294222
-0.008459, 10.293834
-0.008687, 10.196345
-0.008850, 10.000082
-0.008748, 10.392523
-0.008954, 10.196482
-0.008710, 10.196191
-0.008718, 10.392367
-0.008693, 10.183821
-0.008931, 10.209956
-0.008838, 10.195607
-0.008800, 10.000009
-0.008778, 10.195372
-0.008625, 10.097967
-0.008867, 10.196154
-0.008770, 10.196679
-0.008893, 10.097964
-0.008868, 10.001668
-0.008867, 10.098372
-0.008728, 10.196220
-0.009010, 10.195878
-0.008663, 10.000535
-0.008753, 10.099405
-0.008812, 10.098379
-0.008881, 10.097930
-0.008790, 10.000008
-0.008733, 10.098294
-0.008763, 10.097861
-0.008931, 10.052022
-0.008853, 10.342521
-0.008892, 10.196715
-0.008792, 10.392533
-0.008679, 10.000505
-0.008902, 10.196782
-0.008698, 10.001832
-0.008988, 10.099424
-0.008883, 10.196030
-0.008848, 10.098174
-0.008843, 10.099562
-0.008878, 10.196783
-0.008775, 10.098319
-0.008952, 10.097672
-0.008986, 10.195788
-0.008900, 10.195682
-0.008837, 10.098155
-0.008904, 10.392112
-0.009043, 10.099493
-0.009018, 10.098446
-0.009062, 10.099213
-0.009033, 10.099450
-0.009011, 10.097934

-0.008858, 10.079471
-0.008834, 10.099207
-0.009066, 10.293182
-0.008831, 10.196485
-0.008930, 10.195946
-0.008852, 10.294542
-0.008839, 10.000781
-0.008746, 10.294215
-0.008823, 10.196633
-0.008822, 10.197261
-0.008735, 10.001411
-0.008890, 10.196943
-0.009026, 10.197195
-0.008706, 10.097893
-0.009025, 10.000803
-0.009066, 10.000838
-0.008909, 10.000392
-0.008692, 10.136402
-0.009016, 10.158723
-0.008843, 10.196067
-0.008856, 10.205584
-0.008907, 10.090663
-0.008973, 10.294657
-0.008866, 10.001223
-0.008766, 10.294247
-0.008809, 10.000750
-0.008848, 10.000644
-0.008871, 10.001132
-0.008962, 10.001096
-0.009018, 10.195715
-0.008840, 10.001127
-0.008813, 10.000664
-0.008879, 10.099060
-0.008901, 10.001611
-0.008950, 10.195608
-0.009101, 10.099057
-0.008869, 10.000827
-0.009153, 10.295370
-0.008679, 10.001404
-0.008968, 10.001303
-0.008934, 10.001263
-0.008954, 10.194004
-0.008932, 10.003480
-0.008884, 10.098770
-0.008802, 10.195694
-0.008992, 10.000548
-0.008940, 10.098738
-0.008621, 10.001589
-0.009030, 10.000894
-0.008879, 10.098670
-0.008755, 10.000526
-0.008753, 10.001302
-0.008917, 10.001633
-0.008597, 10.000368
-0.008868, 10.097846
-0.008710, 10.001742
-0.008914, 10.000692
-0.008832, 10.000482
-0.008852, 10.000666
-0.008979, 10.001369
-0.008721, 10.000630
-0.008774, 10.001345
-0.009130, 10.001369
-0.009034, 10.197362
-0.008766, 10.000784
-0.009019, 10.000379
-0.008790, 10.001490
-0.008891, 10.001140
-0.008957, 10.000693
-0.008942, 10.048494
-0.009198, 10.051612
-0.009023, 10.000369
-0.008884, 10.001811
-0.008994, 10.041351
-0.008903, 10.058608
-0.008803, 10.001487
-0.008787, 10.001807
-0.008841, 10.001162
-0.009072, 10.001886
-0.008853, 10.000876
-0.008660, 10.001637
-0.008771, 10.001369
-0.008753, 10.001193
-0.009118, 10.001723
-0.009054, 10.001300
-0.008953, 10.001384
-0.008846, 10.000602
-0.009010, 10.001923
-0.008999, 10.001380
-0.008839, 10.000557
-0.008745, 10.001418
-0.008723, 9.903010
-0.008558, 10.001573
-0.008955, 10.000801
-0.008971, 10.001669
-0.008839, 10.000623
-0.008807, 10.001701
-0.008781, 10.000474
-0.008902, 10.001501
-0.008900, 10.000801
-0.008767, 10.000515
-0.008925, 10.000844
-0.009131, 10.000616
-0.008818, 10.000737
-0.009183, 10.001792
-0.009096, 10.001146
-0.008711, 10.001329
-0.009019, 10.000568
-0.008927, 9.903224
-0.009005, 10.000843
-0.008904, 9.904014
-0.009019, 9.903874
-0.009025, 10.000522
-0.009091, 10.001097
-0.008821, 10.000368
-0.009016, 10.000929
-0.009029, 10.000365
-0.008999, 9.903058
-0.008847, 9.914660
-0.008945, 9.891595
-0.008647, 9.902653
-0.008844, 10.001319
-0.009025, 10.000731
-0.008892, 9.996509
-0.009189, 9.906756
-0.008882, 10.001358
-0.008944, 10.000904
-0.008818, 10.000637
-0.008838, 9.805720
-0.008880, 9.902328
-0.008948, 9.904046
-0.008866, 10.000414
-0.008933, 9.903918
-0.008871, 9.902611
-0.008900, 10.001284
-0.009104, 10.001358
-0.008975, 10.001399
